Unnamed: 0,acc.date,type,reg,operator,fat,location,dmg
797,2019-07-08,Canadair CL-215-6B11 (CL-415),c-fawq,Gouvernement du Québec,0.0,"83 km NW of Roberval Airport, QC (YRJ)",sub
798,2019-07-08,Cessna 208B Grand Caravan,n9448b,Grant Aviation,0.0,"Bethel Airport, AK (BET)",w/o
799,2019-07-08,Airbus A320-214,5a-ona,Afriqiyah Airways,0.0,Tripoli-Mitiga International Airport (MJI),min
800,2019-07-09,Antonov An-2,unreg.,Unknown,0.0,"near Raduga, Novoaleksandrovsk District",sub
801,2019-07-09,Boeing 737-8K2 (WL),ph-bxh,KLM Royal Dutch Airlines,0.0,Amsterdam-Schiphol International Airport (AMS/EHAM),min
802,2019-07-09,Airbus A320-214 (WL),oe-ivq,easyJet Europe,0.0,Amsterdam-Schiphol International Airport (AMS/EHAM),min
803,2019-07-10,Airbus A380-861,a6-eem,Emirates,0.0,Bay of Bengal,non
804,2019-07-12,ATR 42-500,sx-for,Sky Express,0.0,Naxos Island National Airport (JNX/LGNX),sub
805,2019-07-12,Cessna 525 CitationJet,n262bk,"Omicron Business Services, LLC",0.0,"Orlando Executive Airport, FL (ORL)",sub
806,2019-07-13,Beechcraft B200 Super King Air,unknown,Unknown,0.0,"Graham Creek, Toledo",w/o
807,2019-07-16,Antonov An-2,ra-3098k,Unknown,0.0,"Novoshchedrinskaya, Chechnya",w/o
808,2019-07-17,Cessna 550 Citation II,n320jt,Avia Jet LLC,0.0,"Mesquite Municipal Airport, NV",w/o
809,2019-07-19,de Havilland Canada DHC-8-402Q Dash 8,c-fkwe,WestJet Encore,0.0,"Edmonton International Airport, AB (YEG)",sub
810,2019-07-20,ATR 42-500,ap-bhp,Pakistan International Airlines - PIA,0.0,Gilgit Airport (GIL),sub
811,2019-07-22,Boeing 767-322ER (WL),n663ua,United Airlines,0.0,"200 nm N of San Juan, Puerto Rico",non
812,2019-07-23,Boeing 757-324 (WL),n57852,United Airlines,0.0,"San Francisco International Airport, CA (SFO)",sub
813,2019-07-23,Boeing 737-36N (WL),5n-bqo,Air Peace,0.0,Lagos-Murtala Muhammed International Airport (LOS),sub
814,2019-07-24,Boeing 777-333ER,c-fnnq,Air Canada,0.0,Paris-Charles de Gaulle Airport (CDG/LFPG),non
815,2019-07-25,Ilyushin Il-76TD,ur-cmc,Europe Air,1.0,Al Jufra Airbase,w/o
816,2019-07-25,Ilyushin Il-76TD,ur-crp,Europe Air,0.0,Al Jufra Airbase,w/o
817,2019-07-26,Cessna 208 Caravan 675,c-gurl,Seair Seaplanes,4.0,"Addenbroke Island, BC",w/o
818,2019-07-27,Fairchild SA227-AC Metro III,n681tr,Sierra West Airlines,0.0,"El Paso International Airport, TX (ELP)",sub
819,2019-07-30,Avro RJ85,vh-njw,Cobham Aviation Services,0.0,"Perth Airport, WA (PER)",sub
820,2019-07-30,Airbus A319-114,d-ailr,Lufthansa,0.0,Frankfurt International Airport (FRA/EDDF),sub
821,2019-07-30,unknown,unknown,Fuerza Aérea de Guinea Ecuatorial,0.0,off Grand Batanga,w/o
822,2019-07-30,Beechcraft B300 King Air 350i,766,Pakistan Army Aviation Corps,19.0,"Mora Kalu, Rawalpindi",w/o
823,2019-07-31,Douglas DC-3C,n59314,Bush Air Fuel,0.0,"Drift River Airport (3AK5), AK",sub
824,2019-07-31,Bombardier CRJ-900ER,n947lr,"American Eagle, opb Mesa Airlines",0.0,"Dallas/Fort Worth International Airport, TX (DFW/KDFW)",sub
825,2019-08-01,Douglas C-118A Liftmaster (DC-6A),n451ce,Everts Air Cargo,0.0,"Candle 2 Airport, AK",sub
